country,begin,end,name,url
CHN,2017-01-01,2017-01-02,元旦,http://www.szse.cn/disclosure/notice/general/t20161222_501883.html
CHN,2017-01-27,2017-02-02,春节,http://www.szse.cn/disclosure/notice/general/t20161222_501883.html
CHN,2017-04-02,2017-04-04,清明节,http://www.szse.cn/disclosure/notice/general/t20161222_501883.html
CHN,2017-04-29,2017-05-01,劳动节,http://www.szse.cn/disclosure/notice/general/t20161222_501883.html
CHN,2017-05-28,2017-05-30,端午节,http://www.szse.cn/disclosure/notice/general/t20161222_501883.html
CHN,2017-10-01,2017-10-08,中秋节、国庆节,http://www.szse.cn/disclosure/notice/general/t20161222_501883.html
CHN,2018-01-01,2018-01-01,元旦,http://www.szse.cn/disclosure/notice/general/t20171222_502255.html
CHN,2018-02-15,2018-02-21,春节,http://www.szse.cn/disclosure/notice/general/t20171222_502255.html
CHN,2018-04-05,2018-04-07,清明节,http://www.szse.cn/disclosure/notice/general/t20171222_502255.html
CHN,2018-04-29,2018-05-01,劳动节,http://www.szse.cn/disclosure/notice/general/t20171222_502255.html
CHN,2018-06-16,2018-06-18,端午节,http://www.szse.cn/disclosure/notice/general/t20171222_502255.html
CHN,2018-09-22,2018-09-24,中秋节,http://www.szse.cn/disclosure/notice/general/t20171222_502255.html
CHN,2018-10-01,2018-10-07,国庆节,http://www.szse.cn/disclosure/notice/general/t20171222_502255.html
CHN,2018-12-30,2019-01-01,元旦,http://www.cffex.com.cn/jysgg/20181221/23450.html
CHN,2019-02-04,2019-02-10,春节,http://www.cffex.com.cn/jysgg/20181221/23450.html
CHN,2019-04-05,2019-04-05,清明节,http://www.cffex.com.cn/jysgg/20181221/23450.html
CHN,2019-05-01,2019-05-04,劳动节,http://www.szse.cn/disclosure/notice/general/t20190418_566376.html
CHN,2019-06-07,2019-06-07,端午节,http://www.cffex.com.cn/jysgg/20181221/23450.html
CHN,2019-09-13,2019-09-13,中秋节,http://www.cffex.com.cn/jysgg/20181221/23450.html
CHN,2019-10-01,2019-10-07,国庆节,http://www.cffex.com.cn/jysgg/20181221/23450.html
CHN,2020-01-01,2020-01-01,元旦,http://www.szse.cn/disclosure/notice/general/t20191220_572766.html
CHN,2020-01-24,2020-01-30,春节,http://www.szse.cn/disclosure/notice/general/t20191220_572766.html
CHN,2020-01-31,2020-02-02,延长春节,http://www.szse.cn/disclosure/notice/general/t20200127_573917.html
CHN,2020-04-04,2020-04-06,清明节,http://www.szse.cn/disclosure/notice/general/t20191220_572766.html
CHN,2020-05-01,2020-05-05,劳动节,http://www.szse.cn/disclosure/notice/general/t20191220_572766.html
CHN,2020-06-25,2020-06-27,端午节,http://www.szse.cn/disclosure/notice/general/t20191220_572766.html
CHN,2020-10-01,2020-10-08,中秋节、国庆节,http://www.szse.cn/disclosure/notice/general/t20200917_581610.html
CHN,2021-01-01,2021-01-03,元旦,http://www.szse.cn/disclosure/notice/general/t20201224_583950.html
CHN,2021-02-11,2021-02-17,春节,http://www.szse.cn/disclosure/notice/general/t20201224_583950.html
CHN,2021-04-03,2021-04-05,清明节,http://www.szse.cn/disclosure/notice/general/t20201224_583950.html
CHN,2021-05-01,2021-05-05,劳动节,http://www.szse.cn/disclosure/notice/general/t20201224_583950.html
CHN,2021-06-12,2021-06-14,端午节,http://www.szse.cn/disclosure/notice/general/t20201224_583950.html
CHN,2021-09-19,2021-09-21,中秋节,http://www.szse.cn/disclosure/notice/general/t20201224_583950.html
CHN,2021-10-01,2021-10-07,国庆节,http://www.szse.cn/disclosure/notice/general/t20201224_583950.html
